verköstigen              to feed/to cater            обслуживать(давать еду)
ausholen                 to wind up/reach back       замахиваться/начинать из далека(рассказ)
tätscheln                to pat                      похлопывать(по спине/плечу)
2960.der Hintern         butt                        попа
die Zügel                reins                       поводья
nahegelegener            nearby present              неподалеку находящийся
der Zaum                 bridle                      уздечка
das                      ---------------------       ---------
Kopfsteinpflaster        cobblestone                 брусчатка
der Maulkorb             muzzle                      намордник
trotten                  trudge                      брести(медленно идти, почти не поднимая ног)
durchhalten              to persevere/               --------------------------------------
                         to push trough              продерживаться пока не дойдешь до цели
das Geschirr             harness                     упряжь
die Anmut                grace                       изящество
die Warze                wart                        бородавка
die Brustwarze           nipple                      сосок
die Praline              candy                       конфета
mundgerecht              bite-sized                  такого размера что помещаеться в рот
der Leckerbissen         tidbit/titbit               лакомство/интересный кусочек информации
die Geborgenheit         sense of security           ощущение безопасности/как будто ты дома
schmatzen                smack one's lips            чавкать
sich schmiegen           to snuggle/to cling         притуляться(ради ласки)/идеально подходить(одежда)
die Angelegenheit        matter                      дело(это срочное дело)
huschen                  to scurry/to rush           быстро пробежать(безшумно)
2960.widerwillig         reluctantly                 неохотно
unterwürfig              submissive                  покорный
das Grunzen              grunt                       подавленный звук от усталости/боли
der Schoß                lap                         колени(часть ног от пояса до колен, сядь мне на колени)
sich blamieren           to embarrass oneself        опозорить себя
rasen                    to hurtle                   гнать(машина гонит через город, небезопасно)
benommen                 dazed                       дезориентирован/сбит с толку
stocken                  to halt                     задерживать
vorziehen                to prefer                   предпочитать
der Abzug                trigger                     курок
die Mündung              estuary/muzzle/             ------------------------------------------------------
                         opening                     устье/дуло ружья/любая дырка из которой что-то выходит
die Ortschaft            settlement                  поселение
untertauchen             to lie low                  скрываться(под другим именем в другой стране)
sich weigern             to refuse                   отказываться
der Schauer              the shiver                  дрожь
makellos                 flawless                    безупречный
das Schimmer             glimmer                     проблеск/мерцание
vermeintlich             supposed                    мнимый/предпологаймый
das Gemüt                mind                        ум
sich anblicken           to look at each other       глянуть друг на друга
2980.zugeboren           innate                      врожденный
die Belange              interests of                интересы(пользователей/страны)
rundheraus               bluntly                     честно(прямолинейно)
die Anbiederung          pandering                   подлизывание/заискивание
rastlos                  restless                    неуспокоимый
wiederum                 on the other hand           в свою очередь(они, в свою очередь, были против)
Das Glucksen             the gurgling                гурготание
ertönen                  to ring out                 прозвучать
sich aufrappeln          to get back on one's        -----------------
                         feet                        взять себя в руки
die Kanne                pot                         горшок
hüpfen                   to hop                      прыгать(не батуте/через скакалку)
